ID,lane_count,vehicle_fromTaz,vehicle_toTaz,avrg_speed,ini_time,end_time,ini_x_pos,ini_y_pos,end_x_pos,end_y_pos,tripinfo_duration,tripinfo_routeLength,tripinfo_timeLoss,tripinfo_waitingCount,tripinfo_waitingTime,tripinfo_arrivalLane,tripinfo_departLane,Repetition
1,59,Amposta,Montsia,22.634366438356157,108.0,691.0,26950.24,21050.21,36107.76,22897.38,584.0,13209.08,72.47,0,0.0,195014750#1_0,185589619#2_0,0
2,15,Amposta,Montsia,11.478333333333335,180.0,257.0,26936.01,20950.35,26732.98,20356.98,78.0,882.97,21.25,0,0.0,185493257#16_0,185589620#0_0,0
6,57,Amposta,Montsia,18.341815181518164,468.0,770.0,26888.93,20964.34,27802.89,22554.72,303.0,5542.23,62.16,0,0.0,633327983#0_0,147518542#7_0,0
7,147,Amposta,Montsia,14.114530916844366,540.0,1477.0,26980.72,21050.05,19242.97,20615.85,938.0,13230.84,183.0,0,0.0,688204816#1_0,-558394785_0,0
9,213,Amposta,Montsia,21.475968379446613,684.0,1948.0,26960.3,21026.57,21223.69,34327.06,1265.0,27152.57,218.69,0,0.0,380424016#1_0,185510463#5_0,0
11,257,Amposta,Montsia,14.660570257174792,828.0,3510.0,26960.3,21026.57,25835.23,24765.88,2683.0,39318.47,353.42,0,0.0,188477076#1_0,185510463#5_0,0
13,44,Amposta,Montsia,11.487239263803685,972.0,1134.0,26950.24,21050.21,27262.32,20230.91,163.0,1869.65,44.04,0,0.0,-185612109#10_0,185589619#2_0,0
15,122,Amposta,Montsia,17.117221238938054,1116.0,1680.0,26863.68,20947.19,19827.68,21620.53,565.0,9667.83,135.64,0,0.0,-113512723#8_0,185589610#3_0,0
18,91,Amposta,Montsia,25.111840411840433,1332.0,2108.0,27008.92,20965.78,22534.85,30313.19,777.0,19496.7,101.18,0,0.0,560826849_0,147518541#7_0,0
19,90,Amposta,Montsia,22.51070811744388,1404.0,1982.0,26936.01,20950.35,33626.12,26927.89,579.0,13021.01,84.63,0,0.0,760150957#2_0,185589620#0_0,0
20,123,Amposta,Montsia,24.030109289617485,1476.0,2390.0,26960.3,21026.57,22492.44,32393.69,915.0,21978.05,134.78,0,0.0,383261848#1_0,185510463#5_0,0
21,135,Amposta,Montsia,24.412434343434334,1548.0,2537.0,27014.79,21033.68,21845.25,33971.22,990.0,24161.41,133.37,0,0.0,108513489#0_0,185589614#0_0,0
23,82,Amposta,Montsia,22.714331550802132,1692.0,2439.0,26866.87,20978.57,40207.81,22029.27,748.0,16987.19,108.33,0,0.0,-195034867_0,185589610#4_0,0
27,15,Amposta,Montsia,11.090416666666668,1980.0,2027.0,26899.73,20951.17,27263.56,21063.46,48.0,529.98,14.31,0,0.0,158464461#2_0,185589611#0_0,0
29,78,Amposta,Montsia,23.82628617363343,2124.0,2745.0,26960.3,21026.57,35103.99,27678.37,622.0,14811.52,77.4,0,0.0,-32879782#1_0,185510463#5_0,0
32,21,Amposta,Montsia,12.79941666666667,2340.0,2459.0,26960.33,20957.93,26598.08,19820.95,120.0,1528.32,25.19,0,0.0,188617035#0_0,147518542#5_0,0
33,148,Amposta,Montsia,22.531190864600344,2412.0,3637.0,27008.92,20965.78,19277.69,34094.57,1226.0,27611.23,155.67,0,0.0,-112156101#0_0,147518541#7_0,0
34,103,Amposta,Montsia,22.947339218158824,2484.0,3276.0,26853.58,20967.62,40382.41,21306.54,793.0,18192.2,136.97,0,0.0,195039169#1_0,147518542#8_0,0
35,95,Amposta,Montsia,23.103427800269927,2556.0,3296.0,27033.14,20951.17,40225.13,21897.92,741.0,17114.77,117.02,0,0.0,195034846#0_0,147518542#3_0,0
38,51,Amposta,Montsia,16.67166666666666,2772.0,2993.0,26909.63,21043.56,27153.47,19586.35,222.0,3697.04,54.78,0,0.0,215493009_0,185589625_0,0
41,174,Amposta,Montsia,22.530550699300708,2988.0,4131.0,26909.63,21043.56,20844.82,33734.14,1144.0,25765.29,196.12,0,0.0,223182900#1_0,185589625_0,0
43,123,Amposta,Montsia,16.754050420168078,3132.0,3726.0,26982.45,21034.23,19750.69,22073.69,595.0,9960.56,147.67,0,0.0,211901492#3_0,558394785_0,0
44,94,Amposta,Montsia,18.037637474541725,3204.0,3694.0,26863.68,20947.19,20638.98,21849.18,491.0,8854.65,110.41,0,0.0,211911822_0,185589610#3_0,0
45,103,Amposta,Montsia,19.311890243902408,3276.0,4423.0,27033.14,20951.17,42103.22,20915.07,1148.0,22159.85,158.21,0,0.0,-232351291#0_0,147518542#3_0,0
46,92,Amposta,Montsia,18.39452334630348,3348.0,4375.0,26848.49,21037.09,31297.86,23349.66,1028.0,18903.69,105.35,0,0.0,-195169027#4_0,185510463#2_0,0
52,125,Amposta,Montsia,17.270758377425018,3780.0,4346.0,27006.01,20933.27,19805.0,21884.11,567.0,9785.51,129.93,0,0.0,211727907#15_0,147518541#6_0,0
53,90,Amposta,Montsia,27.143942428035054,3852.0,4650.0,26995.76,20954.75,37886.83,31594.95,799.0,21682.79,87.65,0,0.0,195184178#2_0,147518542#4_0,0
55,111,Amposta,Montsia,22.16596330275227,3996.0,4867.0,26863.68,20947.19,38769.22,20406.2,872.0,19333.26,142.76,0,0.0,194775385_0,185589610#3_0,0
57,77,Amposta,Montsia,30.953865096359767,4140.0,5073.0,26960.3,21026.57,31759.95,27452.21,934.0,28921.94,78.77,0,0.0,119486278_0,185510463#5_0,0
58,85,Amposta,Montsia,16.973773119605422,4212.0,5022.0,26960.33,20957.93,30238.58,24619.33,811.0,13756.4,120.61,0,0.0,195169015#0_0,147518542#5_0,0
59,91,Amposta,Montsia,23.091268656716405,4284.0,4953.0,27033.14,20951.17,35300.17,28274.27,670.0,15458.4,83.46,0,0.0,-59433713#3_0,147518542#3_0,0
60,176,Amposta,Montsia,16.519907120743024,4356.0,5324.0,27008.92,20965.78,17242.5,18218.69,969.0,16001.09,183.34,0,0.0,215108865#1_0,147518541#7_0,0
61,37,Amposta,Montsia,12.49411764705884,4428.0,4733.0,26863.68,20947.19,28738.15,19920.28,306.0,3819.71,52.42,0,0.0,-48586235#2_0,185589610#3_0,0
