ID,lane_count,vehicle_fromTaz,vehicle_toTaz,avrg_speed,ini_time,end_time,ini_x_pos,ini_y_pos,end_x_pos,end_y_pos,tripinfo_duration,tripinfo_routeLength,tripinfo_timeLoss,tripinfo_waitingCount,tripinfo_waitingTime,tripinfo_arrivalLane,tripinfo_departLane,Repetition
112,32,Gandesa,TerraAlta,13.742919708029206,2340.0,2476.0,16601.61,60007.55,16184.66,59405.02,137.0,1866.99,46.31,0,0.0,-196651482#2_0,196651600#0_0,1
980,17,Gandesa,TerraAlta,13.83979591836735,30420.0,30468.0,16429.85,60072.09,16405.44,59986.04,49.0,654.7,18.29,0,0.0,-50866270#1_0,50866269#3_0,1
1256,35,Gandesa,TerraAlta,12.714765100671144,35396.0,35544.0,16601.61,60007.55,16130.59,59555.23,149.0,1886.52,46.7,0,0.0,-585122250#0_0,196651600#0_0,1
1380,7,Gandesa,TerraAlta,10.046190476190477,32580.0,32600.0,16594.79,60104.01,16401.32,60089.77,21.0,220.72,12.03,0,0.0,50866269#8_0,50866278_0,1
1400,2,Gandesa,TerraAlta,2.136,36011.0,36015.0,16576.4,60095.87,16588.33,60098.33,5.0,16.62,4.38,1,1.0,466427549_0,50866279#0_0,1
1539,17,Gandesa,TerraAlta,12.350847457627122,38955.0,39013.0,16601.61,60007.55,16415.27,60050.35,59.0,712.36,20.76,0,0.0,50866272#0_0,196651600#0_0,1
1638,7,Gandesa,TerraAlta,10.481875,37897.0,37928.0,16594.79,60104.01,16406.16,59920.78,32.0,346.7,13.25,0,0.0,-196651487_0,50866278_0,1
1851,18,Gandesa,TerraAlta,8.023055555555558,42198.0,42413.0,16601.61,60007.55,17188.78,59942.35,216.0,1718.1,39.33,0,0.0,-196651625#2_0,196651600#0_0,1
2066,14,Gandesa,TerraAlta,12.392608695652173,42915.0,42960.0,16402.92,60101.99,16392.89,59932.72,46.0,574.92,18.41,0,0.0,-50866270#3_0,50866268_0,1
2274,18,Gandesa,TerraAlta,13.785769230769231,45401.0,45452.0,16598.1,60088.97,16339.25,59985.16,52.0,684.06,18.57,0,0.0,196651571_0,-196651467#12_0,1
2867,97,Gandesa,TerraAlta,15.789383012820506,51390.0,52637.0,16601.61,60007.55,11720.08,54663.38,1248.0,19698.08,182.87,0,0.0,-199754757#0_0,196651600#0_0,1
3375,14,Gandesa,TerraAlta,9.690509304603307,60390.0,61410.0,16434.88,60074.48,17000.95,62157.0,1021.0,9895.14,94.4,0,0.0,531726264#2_0,50866267_0,1
3599,98,Gandesa,TerraAlta,15.769919871794837,59902.0,61149.0,16639.03,60006.19,11646.62,54789.04,1248.0,19671.26,184.58,0,0.0,390184342#3_0,-196651491_0,1
3739,15,Gandesa,TerraAlta,13.387142857142855,62990.0,63045.0,16304.38,60054.48,16417.12,60035.63,56.0,741.61,20.34,0,0.0,-50866270#0_0,-196651497_0,1
3851,17,Gandesa,TerraAlta,15.32974789915967,61236.0,61354.0,16594.67,60074.89,17099.11,60685.24,119.0,1796.35,26.7,0,0.0,-196651625#5_0,-196651467#11_0,1
3989,10,Gandesa,TerraAlta,10.549583333333334,64548.0,64571.0,16436.79,60067.43,16318.92,59992.26,24.0,254.28,7.92,0,0.0,-196651615#0_0,50866266#1_0,1
4061,15,Gandesa,TerraAlta,11.355641025641026,66382.0,66498.0,16601.61,60007.55,16386.52,59945.11,117.0,1312.02,28.94,0,0.0,196651565#1_0,196651600#0_0,1
4195,13,Gandesa,TerraAlta,10.754814814814816,65976.0,66002.0,16425.71,60064.2,16598.54,60090.78,27.0,292.21,14.72,0,0.0,-196651467#12_0,50866273#1_0,1
4409,10,Gandesa,TerraAlta,14.296666666666667,69592.0,69609.0,16403.22,60091.43,16603.13,60084.57,18.0,250.03,7.03,0,0.0,196651467#12_1,50866269#7_0,1
4515,7,Gandesa,TerraAlta,21.74593750000001,71409.0,71440.0,16214.45,60555.69,16353.78,59987.88,32.0,677.87,7.59,0,0.0,196651571_0,706054831#15_0,1
4574,5,Gandesa,TerraAlta,18.5,68919.0,68922.0,16427.89,60068.25,16402.71,60090.98,4.0,61.2,1.05,0,0.0,50866269#8_0,50866269#2_0,1
4643,34,Gandesa,TerraAlta,12.458794326241133,70380.0,70520.0,16601.61,60007.55,16300.97,59328.48,141.0,1745.76,47.97,0,0.0,-196651536#1_0,196651600#0_0,1
4816,2,Gandesa,TerraAlta,18.47,74172.0,74172.0,16594.88,60108.94,16594.88,60108.94,1.0,17.14,0.48,0,0.0,50866277#1_0,50866277#0_0,1
4912,17,Gandesa,TerraAlta,9.910579439252343,72836.0,73905.0,16421.18,60056.4,16475.35,62549.71,1070.0,10613.26,101.42,0,0.0,-531726296#0_0,50866273#0_0,1
4991,14,Gandesa,TerraAlta,13.771276595744686,74868.0,74914.0,16594.67,60074.89,16299.22,60056.69,47.0,615.89,16.06,0,0.0,196651497_0,-196651467#11_0,1
5362,105,Gandesa,TerraAlta,15.698906250000029,80100.0,81379.0,16601.61,60007.55,11570.5,54711.95,1280.0,20088.44,192.66,0,0.0,199754769#2_0,196651600#0_0,1
5444,4,Gandesa,TerraAlta,18.7725,79362.0,79365.0,16429.85,60072.09,16398.99,60087.07,4.0,56.85,0.96,0,0.0,50866269#8_0,50866269#3_0,1
5533,26,Gandesa,TerraAlta,12.167911392405063,82566.0,82723.0,16601.61,60007.55,16050.94,59666.67,158.0,1920.98,36.83,0,0.0,-196651644#0_0,196651600#0_0,1
5605,17,Gandesa,TerraAlta,14.262619047619046,85420.0,85461.0,16598.1,60088.97,16423.27,60063.83,42.0,572.06,14.9,0,0.0,50866269#2_0,-196651467#12_0,1
1,5,Gandesa,TerraAlta,4.202307692307692,78.0,90.0,16594.79,60104.01,16602.28,60083.22,13.0,62.25,8.55,0,0.0,196651467#12_1,50866278_0,2
280,18,Gandesa,TerraAlta,13.763773584905662,9396.0,9448.0,16452.07,60070.52,16405.8,60063.04,53.0,709.54,20.32,0,0.0,50866269#1_0,-50866276_0,2
605,53,Gandesa,TerraAlta,10.61852534562213,20855.0,21288.0,16601.61,60007.55,18041.49,59051.25,434.0,4595.95,82.91,0,0.0,-491918743#0_0,196651600#0_0,2
925,8,Gandesa,TerraAlta,16.907500000000002,27756.0,27771.0,16582.21,60102.93,16413.26,60061.23,16.0,242.8,5.86,0,0.0,50866269#1_0,50866277#1_0,2
936,7,Gandesa,TerraAlta,6.530714285714287,28548.0,28561.0,16414.82,60051.8,16399.08,60098.83,14.0,95.47,9.0,0,0.0,50866271_0,50866272#0_0,2
940,14,Gandesa,TerraAlta,12.521481481481485,28820.0,28873.0,16601.61,60007.55,16405.56,60099.84,54.0,663.4,18.71,0,0.0,50866268_0,196651600#0_0,2
