ID,lane_count,vehicle_fromTaz,vehicle_toTaz,avrg_speed,ini_time,end_time,ini_x_pos,ini_y_pos,end_x_pos,end_y_pos,tripinfo_duration,tripinfo_routeLength,tripinfo_timeLoss,tripinfo_waitingCount,tripinfo_waitingTime,tripinfo_arrivalLane,tripinfo_departLane,Repetition
4,97,MoraEbre,RiberaEbre,22.13489795918368,1620.0,2354.0,33496.68,63554.26,43616.87,65151.22,735.0,16257.0,98.54,0,0.0,-322495854_0,153173582_0,4
15,127,MoraEbre,RiberaEbre,18.49313088109496,283.0,1451.0,33377.11,63507.03,41377.08,66831.0,1169.0,21613.0,151.05,0,0.0,227131921#0_0,-152916669#1_0,4
23,93,MoraEbre,RiberaEbre,18.76358333333332,695.0,1294.0,33451.66,63565.58,39556.63,66099.82,600.0,11248.72,105.32,0,0.0,-762534020_0,-153173582_0,4
60,25,MoraEbre,RiberaEbre,7.500826873385019,2598.0,3758.0,33384.36,63419.11,32195.81,64882.5,1161.0,8693.34,124.82,0,0.0,549607681#0_0,152916669#1_0,4
129,44,MoraEbre,RiberaEbre,11.253294117647057,2124.0,2293.0,33404.79,63562.58,33124.01,62927.41,170.0,1909.34,52.93,0,0.0,152916847#2_0,153173586#2_0,4
137,166,MoraEbre,RiberaEbre,12.964452110389635,2700.0,5163.0,33361.94,63520.77,49020.65,69009.65,2464.0,31935.56,323.31,0,0.0,152745449#0_0,-194785457#0_0,4
156,168,MoraEbre,RiberaEbre,12.474626187525795,4770.0,7190.0,33423.04,63502.27,47461.96,66408.17,2421.0,30185.62,316.53,0,0.0,-763194657_0,-194785458_0,4
163,108,MoraEbre,RiberaEbre,18.058239583333336,6030.0,6989.0,33496.68,63554.26,44314.05,66477.35,960.0,17328.25,128.5,0,0.0,743729611_0,153173582_0,4
167,88,MoraEbre,RiberaEbre,14.688867187500005,6750.0,7261.0,33390.34,63562.25,33654.05,64971.08,512.0,7523.13,121.11,0,0.0,184296869#6_0,153173586#3_0,4
191,43,MoraEbre,RiberaEbre,12.76098765432099,4428.0,4670.0,33446.04,63553.53,34107.8,63789.68,243.0,3089.63,59.14,0,0.0,332191404#0_0,-153173583#1_0,4
209,26,MoraEbre,RiberaEbre,15.20383116883117,5724.0,6031.0,33519.97,63524.65,32831.75,62815.55,308.0,4680.39,31.86,0,0.0,-538973957#3_0,153173580#0_0,4
219,65,MoraEbre,RiberaEbre,13.580595611285268,6444.0,6762.0,33538.52,63522.16,34740.27,63253.22,319.0,4322.61,88.9,0,0.0,332067327#2_0,153173585_0,4
259,141,MoraEbre,RiberaEbre,12.856068152031455,5370.0,7658.0,33416.61,63554.91,48245.28,68885.6,2289.0,29411.45,276.69,0,0.0,214467243#3_0,-152916669#2_0,4
269,69,MoraEbre,RiberaEbre,14.539690265486724,5970.0,6421.0,33333.11,63627.58,34674.66,64736.48,452.0,6557.21,96.28,0,0.0,-32500137#0_0,-153173587#1_0,4
303,98,MoraEbre,RiberaEbre,19.40158753709198,8820.0,9493.0,33377.11,63507.03,41143.7,66931.86,674.0,13075.21,110.31,0,0.0,-227131920#0_0,-152916669#1_0,4
322,132,MoraEbre,RiberaEbre,11.44959221160914,8100.0,10821.0,33517.97,63504.29,46341.91,66910.98,2722.0,31150.65,313.13,0,0.0,-562706719#0_0,497727610#1_0,4
367,176,MoraEbre,RiberaEbre,12.934685737308635,9180.0,11661.0,33384.92,63574.6,48650.07,68884.61,2482.0,32098.41,321.95,0,0.0,297848867#4_0,153173576#0_0,4
380,20,MoraEbre,RiberaEbre,13.72303797468354,10116.0,10273.0,33361.94,63520.77,32105.88,63368.53,158.0,2165.91,25.53,0,0.0,497727554#0_0,-194785457#0_0,4
387,38,MoraEbre,RiberaEbre,12.403974358974374,10620.0,10853.0,33338.6,63503.4,33514.99,63046.07,234.0,2901.72,52.56,0,0.0,542101268_0,194785457#1_0,4
391,140,MoraEbre,RiberaEbre,12.647439134355285,10908.0,13125.0,33481.17,63436.5,47488.97,67218.26,2218.0,28037.64,271.87,0,0.0,61735829#6_0,214473853#4_0,4
418,97,MoraEbre,RiberaEbre,14.038901273885354,12852.0,13479.0,33338.6,63503.4,33687.25,64780.98,628.0,8805.37,132.43,0,0.0,332191405_0,194785457#1_0,4
440,46,MoraEbre,RiberaEbre,12.013543859649124,10980.0,11264.0,33325.65,63488.21,34312.34,64058.02,285.0,3420.44,67.67,0,0.0,32195987#0_0,-194785457#1_0,4
454,37,MoraEbre,RiberaEbre,11.134294478527618,11340.0,11502.0,33525.82,63535.89,33425.88,62784.15,163.0,1813.23,46.76,0,0.0,194783005#3_0,497727612_0,4
462,129,MoraEbre,RiberaEbre,18.572363013698613,12300.0,13467.0,33396.44,63527.69,41395.55,67034.33,1168.0,21679.05,149.39,0,0.0,-32571230_0,152916669#2_0,4
464,63,MoraEbre,RiberaEbre,13.417884057971015,12540.0,12884.0,33325.65,63488.21,32219.18,62619.93,345.0,4621.09,78.13,0,0.0,480633641#0_0,-194785457#1_0,4
