ID,lane_count,vehicle_fromTaz,vehicle_toTaz,avrg_speed,ini_time,end_time,ini_x_pos,ini_y_pos,end_x_pos,end_y_pos,tripinfo_duration,tripinfo_routeLength,tripinfo_timeLoss,tripinfo_waitingCount,tripinfo_waitingTime,tripinfo_arrivalLane,tripinfo_departLane,Repetition
2,109,Tortosa,BaixEbre,7.9433864053888295,180.0,3445.0,22510.41,32402.11,15495.15,26025.77,3266.0,25939.3,384.93,0,0.0,-683725955#6_0,560977680_0,2
4,140,Tortosa,BaixEbre,17.998367799113765,324.0,1677.0,22844.31,32452.38,34401.7,24140.51,1354.0,24353.34,189.97,0,0.0,-470004105#3_0,-561090100#3_0,2
10,88,Tortosa,BaixEbre,13.70820512820513,756.0,1223.0,22651.38,32345.01,21955.79,35500.98,468.0,6412.35,98.91,0,0.0,154475562_0,362662923#6_0,2
12,41,Tortosa,BaixEbre,13.351118881118884,900.0,1042.0,22533.41,32403.77,22082.69,32915.37,143.0,1909.85,48.21,0,0.0,146958214#0_0,146850113#3_0,2
15,128,Tortosa,BaixEbre,20.060881849315066,1116.0,2283.0,23044.82,32342.62,35255.0,24008.61,1168.0,23426.5,166.93,0,0.0,469937746#0_0,-355426870_0,2
16,159,Tortosa,BaixEbre,24.396459246275178,1188.0,2328.0,22548.73,32333.89,20719.88,22801.74,1141.0,27826.91,193.7,0,0.0,127317432#0_0,146852850#0_0,2
23,136,Tortosa,BaixEbre,15.192479293208175,1692.0,3502.0,22533.02,32604.43,38217.77,27575.52,1811.0,27487.9,231.64,0,0.0,-194820862#0_0,-150637238#2_0,2
29,104,Tortosa,BaixEbre,23.775348557692286,2124.0,2955.0,22517.01,32589.99,35158.46,27938.85,832.0,19759.28,137.84,0,0.0,105637246#2_0,-150637238#1_0,2
32,22,Tortosa,BaixEbre,13.32686746987952,2340.0,2422.0,22470.11,32518.97,22448.45,32269.5,83.0,1095.54,17.41,0,0.0,113221834#0_0,150637238#0_0,2
45,227,Tortosa,BaixEbre,18.483561517113824,3276.0,5437.0,22763.5,32748.28,15676.3,25065.55,2162.0,39950.24,298.15,0,0.0,-684809232_0,362662919#0_0,2
49,153,Tortosa,BaixEbre,26.249994019138807,3564.0,5235.0,22631.12,32611.56,49929.44,44484.65,1672.0,43874.03,163.99,0,0.0,156430590#0_0,362662918#0_0,2
52,17,Tortosa,BaixEbre,13.344945054945054,129.0,219.0,22411.6,32348.68,23263.01,32569.25,91.0,1205.82,16.81,0,0.0,148012253#0_0,362662925#2_0,2
59,77,Tortosa,BaixEbre,12.724454828660436,489.0,809.0,22631.12,32611.56,20796.38,33990.84,321.0,4071.12,95.82,0,0.0,223184443#1_0,362662918#0_0,2
65,94,Tortosa,BaixEbre,17.77698730794927,798.0,2294.0,22483.7,32680.36,32147.73,27931.87,1497.0,26599.37,148.7,0,0.0,292083210#2_0,103962834#1_0,2
68,109,Tortosa,BaixEbre,29.775947986577172,952.0,2143.0,22594.18,32354.02,46313.43,39802.1,1192.0,35487.01,133.83,0,0.0,153539341#2_0,135977993#0_0,2
74,101,Tortosa,BaixEbre,24.19313341493268,1260.0,2076.0,22423.04,32504.19,34688.2,27612.39,817.0,19762.7,123.61,0,0.0,-105563681#3_0,150637275#0_0,2
81,58,Tortosa,BaixEbre,14.083673469387755,1620.0,1864.0,22499.22,32571.71,22600.9,30517.38,245.0,3432.06,64.35,0,0.0,135165890#8_0,150637238#1_0,2
83,90,Tortosa,BaixEbre,30.96229946524066,1723.0,2844.0,22533.41,32403.77,46197.44,40114.03,1122.0,34741.24,108.36,0,0.0,641339954#1_0,146850113#3_0,2
92,26,Tortosa,BaixEbre,11.941683168316837,2186.0,2286.0,22499.22,32571.71,22672.89,32105.09,101.0,1187.76,28.04,0,0.0,362662923#0_0,150637238#1_0,2
102,153,Tortosa,BaixEbre,26.865713403335338,2700.0,4318.0,22573.06,32662.89,49819.6,44223.89,1619.0,43482.37,160.67,0,0.0,178692352#1_0,344448216#0_0,2
103,157,Tortosa,BaixEbre,23.46763864042931,2752.0,3869.0,22631.12,32611.56,22998.67,22095.96,1118.0,26222.78,177.44,0,0.0,-177326044#0_0,362662918#0_0,2
111,249,Tortosa,BaixEbre,16.68249128244873,3163.0,5743.0,22991.7,32421.63,16908.61,25575.79,2581.0,43044.62,345.74,0,0.0,685092212#4_0,116357331#3_0,2
114,112,Tortosa,BaixEbre,16.216912891986066,3318.0,4752.0,22651.38,32345.01,34761.13,26160.61,1435.0,23259.38,187.34,0,0.0,232707481#7_0,362662923#6_0,2
115,149,Tortosa,BaixEbre,26.283604938271534,3369.0,4988.0,22887.78,32743.44,47951.01,43640.81,1620.0,42563.07,163.47,0,0.0,572518346#1_0,146911510#0_0,2
118,107,Tortosa,BaixEbre,25.616133464180564,3523.0,4541.0,22522.23,32408.11,38721.21,33880.09,1019.0,26100.93,143.38,0,0.0,-435499664_0,146850113#2_0,2
